10886|"How Cisco Services aligned Strategy & Operations to guide Business Architecture"|55460|"Narayanan Dharmarajan"
10887|"Managing Change in an Oracle environment"|136368|"Steve Hersh"
10888|"DevOps for DBAs"|79675|"Dominic Delmolino"
10889|"Innovative Integration of Apache Solr with Oracle RDBMS JVM, AQ & Data Cartridge"|10259|"Marcelo Ochoa"
10890|"Setting up of PeopleSoft Self-Service Environment over Intranet and Internet."|136371|"Rao Mettu"
10891|"Defining the Instance Strategy for PeopleSoft Implementation & Upgrades"|136371|"Rao Mettu"
10892|"Oracle E-Buss Suite Rel 12 with RAC 11g Rel2 Implementation Real World Insights "|87663|"Deepa Nambiar"
10893|"Building Mobile Apps with Oracle"|10023|"Rich Manalang"
10894|"Combining database features with storage technologies to solve DBA challenges "|75721|"Wendy Chen"
10895|"Tips & Tricks on E-Business Suite R12 Rollout in Brazil"|36998|"Ketan Thanki"
10896|"How GE uses 11g RAC to provide high available and scalable database solutions"|136369|"Sumit Mondaiyka"
10897|"Virtualizing Oracle Database Best Practices"|136384|"Rick Scherer"
10898|"Sharpen your Oracle RAC and Dataguard using Intel Zeon Based Blade Servers"|78032|"Deepen Charaborty"
10899|"Disaster recovery for Oracle Database Standard Edition (SE) "|75721|"Wendy Chen"
10900|"A Privacy/Security Model to protect and secure within the DW/BI reporting tools"|136372|"Jim Phillips"
10901|"Migrating Oracle Databases to the Cloud"|136388|"Darryl Smith"
10902|"Infrastructure migration using Oracle database 11gR2 Grid Plug and Play "|75721|"Wendy Chen"
10903|"Mission-critical Availability for Oracle Deployments on Enterprise Servers"|110152|"Gary Combs"
10904|"Embracing the Automatic Diagnostic Repository in Oracle Database 11g"|96293|"Don Seiler"
10905|"Supporting a larger group of UPK Developers effectively "|65293|"Sjoerd de Vries"
10906|"Enterprise Content Management integration, much easier and faster with CMIS"|39673|"Gert Leenders"
10907|"Hudson arrives at Oracle, let developers use it to lower the maintenance costs"|39673|"Gert Leenders"
10908|"Don't bore learners with simple UPK topics. Create appealing content instead! "|65293|"Sjoerd de Vries"
10909|"How to automate decision making with Oracle Business Rules 11g"|10343|"Wilfred van der Deijl"
10910|"Service Oriented Integration for JD Edwards EnterpriseOne"|136393|"Hari Sharma"
10911|"Out of the Black Box: Evaluating your IO Subsystem"|48882|"Mike Ault"
10912|"Using Oracle Database Vault to Secure Sensitive Data in Oracle E-Business Suite"|125710|"Fong Hsu"
10913|"Single instance database conversion to RAC - tips and techniques"|133094|"Syed Jaffar Hussain"
10914|"¿Cómo lo hiciste? - Best practices in translating UPK e-learning content "|65293|"Sjoerd de Vries"
10915|"Evaluating Oracle Exadata: Starring Roles for the Best Technology"|10341|"Alex Gorbachev"
10916|" Oracle 11gR2 Cluster upgrade success story- A complete life cycle"|133094|"Syed Jaffar Hussain"
10917|"Driving ADF Applications using BPM Process"|135225|"Husain Dalal"
10918|"Backup Recovery best strategies for RAC"|133094|"Syed Jaffar Hussain"
10919|"Managing & Troubleshooting Clusterware - Best Practices"|133094|"Syed Jaffar Hussain"
10920|"Teaching Business Processes by integrating a Process Modeling tool into UPK "|65293|"Sjoerd de Vries"
10921|"Programming Oracle Data Pump"|136396|"Sandi Reddick"
10922|"Four ways to transition from Oracle Forms to Oracle ADF"|10343|"Wilfred van der Deijl"
10923|"Exadata explained"|89832|"Frits Hoogland"
10924|"Virtualization Management: How to avoid “Rip and Replace”"|136376|"Marina Fisher"
10925|"Under The Hood of Oracle ASM: Fault Tolerance"|10341|"Alex Gorbachev"
10926|"Building an agile e-commerce web platform with Oracle Database 11g & PHP"|136411|"Michal Taborsky"
10927|"Implementing a Rapid Recovery Strategy on Standard Edition"|136396|"Sandi Reddick"
10928|"Upskilling a Data Developer for Data Mining"|136408|"Brendan Tierney"
10929|"Using Oracle Data Miner 11gR2 & SQL Dev. for Data Mining"|136408|"Brendan Tierney"
10930|"XFILES, The APEX 4 Version: The Truth is in There..."|108081|"Marco Gralike"
10931|"Oracle Database Consolidation: Practical Chargeback Methods"|10341|"Alex Gorbachev"
10932|"How to Deploy your Oracle Data Miner 11g R2 Workflows in a Live Environment"|136408|"Brendan Tierney"
10933|"Pitfalls & Challenges experienced in WebCenter implementations"|135726|"Rob De Gouw"
10934|" Oracle Application EBS 11i to R12 Data Migration Case Study"|26206|"RK Shah"
10935|"Enabling Social Media Analytics using OBIEE 11g and Data Miner"|96574|"Shailesh Shedge"
10936|"Oracle GoldenGate and OBIEE to enable Real-Time BI for CRM and ERP Applications"|96574|"Shailesh Shedge"
10937|"Examining high-service availability challenges in MySQL deployments. "|136177|"John Busch"
10938|"Improving Shop Floor Reporting in an Oracle Continuous Manufacturing Environment"|136391|"Jeff Croxen"
10939|"Adding global scalability to a same-day-order production scheduling solution"|136391|"Jeff Croxen"
10940|"Deep dive into Oracle Application Development Framework. "|136413|"Eugene Fedorenko"
10941|"Oracle 11g RAC for Developers"|20228|"Murali Vallath"
10942|"New Features in 11gR2 RAC"|20228|"Murali Vallath"
10943|"Integrate Oracle GoldenGate with Oracle Real Application Cluster"|117830|"Eric Yen"
10944|"Empowering Planner with Next Generation Advance Planning Tool: Rapid Planning "|136422|"Sushil Srivastava"
10945|"Managing Better Product Vitality through Oracle Agile PLM "|136422|"Sushil Srivastava"
10946|"Oracle Golden Gate vs Oracle Data Guard"|136429|"Shervin Sheidaei"
10947|" How GoldenGate helps a company to zero downtime for the application releases"|136429|"Shervin Sheidaei"
10948|"Building an ADF front end for E-Business Suite "|12255|"Mark Nelson"
